symbol,total_trades,win_trades,win_rate,avg_return,total_return
PENN,30,14,0.4666666666666667,0.017130097360928655,0.5139029208278597
BBIO,11,5,0.45454545454545453,0.04671003573080166,0.5138103930388183
BLDR,25,9,0.36,0.02030891191784823,0.5077227979462058
AVGO,21,11,0.5238095238095238,0.023960289057941373,0.5031660702167688
DK,24,11,0.4583333333333333,0.020916618259613513,0.5019988382307243
OIS,28,13,0.4642857142857143,0.017688691199022978,0.4952833535726434
MIDD,14,7,0.5,0.03515884044895202,0.4922237662853282
KLAC,40,17,0.425,0.01223010012995349,0.4892040051981396
CF,51,22,0.43137254901960786,0.009333998936546071,0.47603394576384966
TER,42,18,0.42857142857142855,0.011221650983677172,0.47130934131444124
GWRE,15,9,0.6,0.03053780202798134,0.4580670304197201
W,29,11,0.3793103448275862,0.015378778989522272,0.4459845906961459
LRCX,23,10,0.43478260869565216,0.019259327818083993,0.4429645398159318
SFM,20,14,0.7,0.022057082196433802,0.44114164392867605
GLW,31,13,0.41935483870967744,0.014090884902234915,0.43681743196928235
PEN,28,14,0.5,0.015453727528839218,0.4327043708074981
WDC,63,24,0.38095238095238093,0.006682391460123302,0.420990661987768
PAYC,27,12,0.4444444444444444,0.015493530571672194,0.4183253254351492
AEO,46,21,0.45652173913043476,0.009056125570108185,0.4165817762249765
APO,24,14,0.5833333333333334,0.017329229672110636,0.4159015121306553
CRWD,20,11,0.55,0.020574267379638543,0.4114853475927709
SMR,5,3,0.6,0.08217947046051441,0.41089735230257207
WSO,14,9,0.6428571428571429,0.029227423664791967,0.4091839313070875
WT,15,9,0.6,0.027179019369003778,0.40768529053505664
MED,14,6,0.42857142857142855,0.028922179944767337,0.4049105192267427
EXPE,28,12,0.42857142857142855,0.014437880728377558,0.40426066039457165
WING,30,16,0.5333333333333333,0.013351469381445501,0.40054408144336506
M,36,14,0.3888888888888889,0.011046747117453836,0.3976828962283381
KNSL,21,9,0.42857142857142855,0.018894698008270365,0.39678865817367764
URI,27,14,0.5185185185185185,0.014653364052053176,0.39564082940543577
DLTR,39,17,0.4358974358974359,0.010139003402004226,0.3954211326781648
AAOI,5,3,0.6,0.0783050267423421,0.3915251337117105
TGTX,15,7,0.4666666666666667,0.025739649086499714,0.3860947362974957
SOFI,11,6,0.5454545454545454,0.03508071894708768,0.3858879084179645
TOL,49,19,0.3877551020408163,0.007829174603884154,0.3836295555903236
ALV,7,5,0.7142857142857143,0.054717124497228146,0.383019871480597
WPM,45,18,0.4,0.008478991644397674,0.3815546239978953
BOX,19,10,0.5263157894736842,0.019895272664199284,0.3780101806197864
PANW,28,12,0.42857142857142855,0.013338800176079338,0.37348640493022145
MTSI,25,15,0.6,0.014750718946310568,0.3687679736577642
LSCC,33,12,0.36363636363636365,0.011146298704688308,0.3678278572547142
TEX,45,19,0.4222222222222222,0.008170925267028785,0.36769163701629537
GEO,9,4,0.4444444444444444,0.04076693564119587,0.36690242077076285
BTU,6,4,0.6666666666666666,0.061065689328555696,0.3663941359713342
LUV,38,13,0.34210526315789475,0.009609582897562419,0.3651641501073719
EBAY,37,15,0.40540540540540543,0.009814956863162354,0.36315340393700707
NU,13,9,0.6923076923076923,0.02775929244623628,0.3608708018010716
DAVE,6,4,0.6666666666666666,0.05984539127673031,0.3590723476603819
BOOT,22,10,0.45454545454545453,0.01612443018513241,0.35473746407291307
AVAV,12,5,0.4166666666666667,0.029547319646975104,0.35456783576370127
APG,8,5,0.625,0.04362148188430482,0.34897185507443856
IAG,28,12,0.42857142857142855,0.012396724802494303,0.3471082944698405
ICLR,28,16,0.5714285714285714,0.012378675715998409,0.34660292004795545
FUTU,25,9,0.36,0.01384196759140526,0.3460491897851315
FLR,37,16,0.43243243243243246,0.009231802779954168,0.3415767028583042
OC,34,14,0.4117647058823529,0.009949649549915817,0.3382880846971378
HOOD,9,5,0.5555555555555556,0.037459412345697274,0.33713471111127546
ZIM,6,4,0.6666666666666666,0.05561800040673134,0.333708002440388
EVR,11,7,0.6363636363636364,0.030287017920203572,0.3331571971222393
SATS,7,5,0.7142857142857143,0.047367857208185656,0.3315750004572996
ASH,12,8,0.6666666666666666,0.027575667961521135,0.3309080155382536
DXCM,29,14,0.4827586206896552,0.011390200290324186,0.3303158084194014
CRSP,12,5,0.4166666666666667,0.02737091171042449,0.3284509405250939
CE,23,10,0.43478260869565216,0.014188396890739313,0.3263331284870042
SPOT,13,5,0.38461538461538464,0.02487656470660338,0.32339534118584395
DG,9,7,0.7777777777777778,0.035546134046953407,0.31991520642258064
AUPH,9,5,0.5555555555555556,0.03547687396986702,0.3192918657288032
QUBT,5,2,0.4,0.0637617633670171,0.3188088168350855
HOG,29,13,0.4482758620689655,0.01094399788376923,0.3173759386293077
CGNX,20,7,0.35,0.01582684630612862,0.31653692612257245
LAD,23,11,0.4782608695652174,0.013594086476879453,0.3126639889682274
FRPT,20,8,0.4,0.015249931429626065,0.3049986285925213
HUT,12,5,0.4166666666666667,0.025334944977392183,0.3040193397287062
OVV,36,13,0.3611111111111111,0.008350137069611345,0.30060493450600845
NEM,48,20,0.4166666666666667,0.006256539666102364,0.30031390397291347
BPOP,19,10,0.5263157894736842,0.01572461048238364,0.29876759916528917
TKR,22,12,0.5454545454545454,0.01350372869646011,0.2970820313221224
TPL,5,3,0.6,0.05927269694351802,0.2963634847175901
TREX,22,8,0.36363636363636365,0.013444781431483583,0.2957851914926388
U,11,6,0.5454545454545454,0.02685338499502202,0.2953872349452422
HP,33,14,0.42424242424242425,0.008949586018834624,0.29533633862154257
AMR,9,6,0.6666666666666666,0.03250211444709519,0.2925190300238567
SNEX,7,5,0.7142857142857143,0.04156134893175164,0.2909294425222615
ONON,12,5,0.4166666666666667,0.024184223037627083,0.290210676451525
PWR,24,11,0.4583333333333333,0.01195010818478437,0.28680259643482486
FCX,49,18,0.3673469387755102,0.00582848577411285,0.28559580293152964
TDW,10,5,0.5,0.028138301692473923,0.2813830169247392
Z,26,8,0.3076923076923077,0.010814580388177885,0.281179090092625
CSIQ,30,9,0.3,0.009365110577322762,0.28095331731968287
HLF,27,12,0.4444444444444444,0.010369548693247035,0.27997781471766997
ACMR,16,7,0.4375,0.017023226195426247,0.27237161912681995
SBLK,13,8,0.6153846153846154,0.020445284654062087,0.2657887005028071
ASML,10,5,0.5,0.02657839193144259,0.2657839193144259
TTD,26,11,0.4230769230769231,0.01021004562815266,0.26546118633196913
CAKE,24,11,0.4583333333333333,0.011016468563246166,0.264395245517908
TXG,6,3,0.5,0.04399284580426102,0.26395707482556613
APPF,12,6,0.5,0.0219792950107519,0.2637515401290228
CHWY,14,6,0.42857142857142855,0.018835575088184422,0.2636980512345819
DAL,34,14,0.4117647058823529,0.007694774232481324,0.261622323904365
NVDA,28,12,0.42857142857142855,0.009321360551427219,0.2609980954399621
SLB,34,13,0.38235294117647056,0.007667242223679445,0.2606862356051011
FOXF,16,7,0.4375,0.016228090403444556,0.2596494464551129
ENPH,21,9,0.42857142857142855,0.012262927502491963,0.25752147755233123
HOLX,25,10,0.4,0.010277454143151472,0.2569363535787868
IREN,7,3,0.42857142857142855,0.03654768384448176,0.2558337869113723
CTRA,47,17,0.3617021276595745,0.0054378949745350165,0.25558106380314577
DVA,16,8,0.5,0.015969840593304332,0.2555174494928693
LGND,17,7,0.4117647058823529,0.015030328831362696,0.2555155901331658
DIN,17,10,0.5882352941176471,0.015025208976620153,0.2554285526025426
NGD,13,6,0.46153846153846156,0.01959739513241635,0.2547661367214125
AL,7,4,0.5714285714285714,0.03619236069349297,0.2533465248544508
AVT,23,10,0.43478260869565216,0.01070407701486517,0.2461937713418989
EXAS,24,12,0.5,0.010244255863994705,0.2458621407358729
NVMI,7,5,0.7142857142857143,0.03481664333403213,0.2437165033382249
ELF,9,5,0.5555555555555556,0.02696227660598112,0.24266048945383006
WWW,14,8,0.5714285714285714,0.017267592054026015,0.2417462887563642
EXTR,19,8,0.42105263157894735,0.01251283901723551,0.23774394132747467
